run,source,model,prompt_mode,overall_accuracy,id_accuracy,ood_accuracy,ood_gap,average_latency_seconds,task_above_below,task_between,task_center_proximity,task_counting,task_inside_outside,task_left_right,task_multi_hop,task_nearest_farthest,task_overlap,task_relative_ordering,task_relative_size
base-direct,/Users/gabrieljang/Documents/Macbook air personal/visiongym/reports/base-direct/metrics.json,Qwen/Qwen3-VL-2B-Instruct,direct,0.4928571428571429,0.5325,0.477,0.055499999999999994,0.1947130968735708,0.24691358024691357,0.35802469135802467,0.6290322580645161,0.4935064935064935,0.9731543624161074,0.17,0.4293785310734463,0.23728813559322035,0.9032258064516129,0.1568627450980392,0.6115107913669064
base-fewshot,/Users/gabrieljang/Documents/Macbook air personal/visiongym/reports/base-fewshot/metrics.json,Qwen/Qwen3-VL-2B-Instruct,fewshot,0.545,0.605,0.521,0.08399999999999996,0.042784923596428985,0.32098765432098764,0.4567901234567901,0.6370967741935484,0.4935064935064935,0.8926174496644296,0.22,0.4689265536723164,0.3050847457627119,0.8870967741935484,0.49019607843137253,0.6187050359712231
lora-direct,/Users/gabrieljang/Documents/Macbook air personal/visiongym/reports/lora-direct/metrics.json,Qwen/Qwen3-VL-2B-Instruct+VisionGym-LoRA,direct,0.5864285714285714,0.655,0.559,0.09599999999999997,0.05995023371643129,0.38271604938271603,0.32098765432098764,0.6451612903225806,0.5714285714285714,0.9932885906040269,0.27,0.4858757062146893,0.3389830508474576,0.9435483870967742,0.5686274509803921,0.6546762589928058
lora-fewshot,/Users/gabrieljang/Documents/Macbook air personal/visiongym/reports/lora-fewshot/metrics.json,Qwen/Qwen3-VL-2B-Instruct+VisionGym-LoRA,fewshot,0.5642857142857143,0.665,0.524,0.14100000000000001,0.060638886900717025,0.2962962962962963,0.35802469135802467,0.6048387096774194,0.564935064935065,0.9932885906040269,0.24,0.5084745762711864,0.23728813559322035,0.9435483870967742,0.5163398692810458,0.6402877697841727
