task,accuracy,samples
above_below,0.2962962962962963,81
between,0.35802469135802467,81
center_proximity,0.6048387096774194,124
counting,0.564935064935065,154
inside_outside,0.9932885906040269,149
left_right,0.24,100
multi_hop,0.5084745762711864,177
nearest_farthest,0.23728813559322035,118
overlap,0.9435483870967742,124
relative_ordering,0.5163398692810458,153
relative_size,0.6402877697841727,139
