task,accuracy,samples
above_below,0.24691358024691357,81
between,0.35802469135802467,81
center_proximity,0.6290322580645161,124
counting,0.4935064935064935,154
inside_outside,0.9731543624161074,149
left_right,0.17,100
multi_hop,0.4293785310734463,177
nearest_farthest,0.23728813559322035,118
overlap,0.9032258064516129,124
relative_ordering,0.1568627450980392,153
relative_size,0.6115107913669064,139
