task,accuracy,samples
above_below,0.24691358024691357,81
between,0.35802469135802467,81
center_proximity,0.5887096774193549,124
counting,0.4675324675324675,154
inside_outside,0.9932885906040269,149
left_right,0.24,100
multi_hop,0.4576271186440678,177
nearest_farthest,0.211864406779661,118
overlap,0.967741935483871,124
relative_ordering,0.17647058823529413,153
relative_size,0.37410071942446044,139
