task,accuracy,samples
above_below,0.32098765432098764,81
between,0.4567901234567901,81
center_proximity,0.6370967741935484,124
counting,0.4935064935064935,154
inside_outside,0.8926174496644296,149
left_right,0.22,100
multi_hop,0.4689265536723164,177
nearest_farthest,0.3050847457627119,118
overlap,0.8870967741935484,124
relative_ordering,0.49019607843137253,153
relative_size,0.6187050359712231,139
