task,accuracy,samples
above_below,0.1728395061728395,81
between,0.32098765432098764,81
center_proximity,0.6451612903225806,124
counting,0.5194805194805194,154
inside_outside,1.0,149
left_right,0.12,100
multi_hop,0.3559322033898305,177
nearest_farthest,0.1694915254237288,118
overlap,0.967741935483871,124
relative_ordering,0.13071895424836602,153
relative_size,0.6618705035971223,139
