task,accuracy,samples
above_below,0.38271604938271603,81
between,0.32098765432098764,81
center_proximity,0.6451612903225806,124
counting,0.5714285714285714,154
inside_outside,0.9932885906040269,149
left_right,0.27,100
multi_hop,0.4858757062146893,177
nearest_farthest,0.3389830508474576,118
overlap,0.9435483870967742,124
relative_ordering,0.5686274509803921,153
relative_size,0.6546762589928058,139
